element,ionization_energy_eV,pauling_en,ionic_radius_A,cohesive_energy_eV,bulk_modulus_GPa
Li,5.392,0.98,0.9,1.63,11.6
Be,9.323,1.57,0.59,3.32,110
B,8.298,2.04,0.41,5.81,178
Na,5.139,0.93,1.16,1.113,6.8
Mg,7.646,1.31,0.86,1.51,35.6
Al,5.986,1.61,0.68,3.39,75.2
K,4.341,0.82,1.52,0.934,3.2
Sc,6.562,1.36,0.89,3.9,56.6
Ti,6.828,1.54,1.0,4.85,108
V,6.746,1.63,0.93,5.31,158
Cr,6.767,1.66,0.87,4.1,160
Mn,7.434,1.55,0.81,2.92,92.6
Co,7.881,1.88,0.79,4.39,182
Ni,7.64,1.91,0.74,4.44,177
Cu,7.726,1.9,0.87,3.49,138
Zn,9.394,1.65,0.88,1.35,69.4
As,9.789,2.18,0.72,2.96,38.3
Rb,4.177,0.82,1.66,0.852,3.1
Sr,5.695,0.95,1.32,1.72,12
Y,6.217,1.22,1.04,4.37,41.2
Zr,6.634,1.33,0.86,6.25,89.8
Nb,6.759,1.6,0.86,7.57,170
Mo,7.092,2.16,0.83,6.82,261
Ru,7.361,2.2,0.82,6.74,286
In,5.786,1.78,0.94,2.52,41.1
Cs,3.894,0.79,1.81,0.804,1.57
La,5.577,1.1,1.17,4.47,27.9
Ce,5.539,1.12,1.15,4.32,21.5
Pr,5.473,1.13,1.13,3.7,28.8
Nd,5.525,1.14,1.43,3.4,31.8
Pm,5.582,1.13,1.11,3.2,33
Sm,5.644,1.17,1.36,2.14,37.8
Eu,5.67,1.2,1.31,1.86,14.7
Gd,6.15,1.2,1.08,4.14,37.9
Tb,5.864,1.2,1.06,4.05,38.7
Dy,5.939,1.22,1.05,3.04,40.5
Ho,6.022,1.23,1.04,3.14,40.2
Er,6.108,1.24,1.03,3.29,44.4
Tm,6.184,1.25,1.17,2.42,44.5
Yb,6.254,1.1,1.16,1.6,30.5
Lu,5.426,1.27,1.0,4.43,47.6
Hf,6.825,1.3,0.85,6.44,109
Ta,7.55,1.5,0.86,8.1,196
W,7.864,2.36,0.8,8.9,311
Re,7.834,1.9,0.77,8.03,334
Os,8.438,2.2,0.77,8.17,373
Tl,6.108,1.62,1.64,1.88,28.5
Pb,7.417,1.87,1.33,2.03,45.8
Bi,7.286,2.02,1.17,2.18,31.5
Th,6.307,1.3,1.08,6.2,54
U,6.194,1.38,1.17,5.55,97.9
