element,oxidation_state,Tm_anchor_K,n_formula_rows
Al,3.0,2326.0,1
As,3.0,569.0,1
B,3.0,723.0,1
Be,2.0,2851.0,1
Bi,3.0,1098.0,1
Ce,3.0,2453.0,1
Ce,4.0,2673.0,1
Co,2.0,2086.5,1
Cr,3.0,2607.0,1
Cr,6.0,470.0,1
Cs,1.0,768.0,1
Cu,1.0,1515.0,1
Dy,3.0,2673.0,1
Er,3.0,2653.0,1
Eu,2.0,2253.0,1
Gd,3.0,2623.0,1
Hf,4.0,3053.0,1
Ho,3.0,2633.0,1
In,3.0,2183.0,1
K,1.0,1013.068182,1
La,3.0,2574.15,1
Li,1.0,1726.0,1
Lu,3.0,2723.0,1
Mg,2.0,3098.0,1
Mn,2.0,2115.0,1
Mn,7.0,279.05,1
Mo,6.0,1074.0,1
Na,1.0,1405.068182,1
Nb,4.0,2353.0,1
Nd,3.0,2593.0,1
Ni,2.0,2228.0,1
Os,8.0,314.0,1
Pb,2.0,1159.0,1
Pm,3.0,2593.0,1
Pr,3.0,2573.0,1
Rb,1.0,775.795455,1
Re,3.0,423.0,1
Re,6.0,433.0,1
Ru,8.0,298.55,1
Sc,3.0,2723.0,1
Sm,3.0,2543.0,1
Sr,2.0,2923.0,1
Ta,5.0,2101.5,1
Tb,3.0,2663.0,1
Th,4.0,3623.0,1
Ti,4.0,2143.0,1
Tl,1.0,852.0,1
Tm,3.0,2643.0,1
U,4.0,3123.0,1
V,2.0,2103.0,1
V,3.0,2240.0,1
V,5.0,953.0,1
W,6.0,1746.0,1
Y,3.0,2695.15,1
Yb,3.0,2703.0,1
Zn,2.0,2248.15,1
Zr,4.0,2973.0,1
