pair,E_strain,E_chem,Omega_K,frequency
La–W,23.550969543147193,-9.05454847645429,-2458.931604717486,4
Ce–W,20.8878205128205,-8.74330435986159,-2436.7670711739866,3
Li–W,1.8976470588235284,-7.172577420281528,-2430.06504032509,1
Lu–W,7.968888888888884,-7.505979928994081,-2392.8313170349415,1
W–Y,11.025391304347826,-7.724564628099174,-2385.9242759025915,2
Pr–W,19.17317098445594,-8.099710705615164,-2319.088966595155,2
Gd–W,14.54987234042553,-7.72172042386413,-2318.4873785151194,1
Er–W,10.273584699453545,-6.691050565139795,-2159.0284348045425,1
Ho–W,10.994086956521738,-6.666149167136297,-2139.568123725254,1
Dy–W,11.874999999999996,-6.679872396694216,-2126.0806279392955,2
Mg–W,0.7516626506024083,-4.477792820333653,-1823.0298944438,1
W–Yb,22.580816326530595,-6.143867036011079,-1798.1922405225719,1
Sr–W,41.1977358490566,-7.366245180425109,-1730.6891245873185,3
Tm–W,24.70454314720811,-5.893118087703055,-1699.4523517691277,1
Al–W,3.757621621621622,-3.8746147305771044,-1625.3469390062141,2
Li–Mo,0.772104046242776,-3.402657839800966,-1571.7923957378066,3
La–Mo,16.698419999999995,-4.6036698513476395,-1550.27914672999,3
Ce–Mo,14.610101010101008,-4.399675061728396,-1542.2475188299663,1
Lu–Mo,4.873519125683063,-3.57461536651964,-1534.2098524770051,2
Mo–Y,7.126748663101608,-3.7300182204081658,-1527.7796984041147,3
Mo–Tb,8.388428571428577,-3.7322479338843,-1504.3966945200941,3
Gd–Mo,9.780759162303672,-3.736561983471076,-1479.024756276764,3
Mo–Pr,13.307142857142853,-3.9931610555473678,-1472.085052314963,1
Nd–W,61.01225112107621,-7.728621616890167,-1439.8414957288205,2
Mo–Sc,0.664744186046513,-2.7058956916099786,-1411.2580188251493,1
Ho–Mo,7.103165775401074,-3.0883351368215384,-1378.5091529078127,2
Dy–Mo,7.7620212765957515,-3.0985868408163277,-1368.418687486155,3
Sm–W,50.6405925925926,-6.342512844731565,-1312.9318855197073,4
In–W,3.9661839080459713,-2.358689328147476,-1267.7002724852823,1
K–W,70.20744827586206,-7.696526281957631,-1258.1448048919337,1
Mg–Mo,0.15795266272189382,-1.7915708499238923,-1207.5294276210461,2
As–Th,6.645600000000002,-2.13884456747405,-1165.643093256412,1
Mo–V,2.380681818181823,-1.683793697175356,-1140.272027191566,1
Mo–Yb,15.95193467336683,-2.7650142547541288,-1135.4270696459196,3
Mo–Tm,17.657899999999998,-2.622212359541232,-1069.7880883269265,3
La–Pb,0.7546880000000012,-0.7567104349134297,-954.7705655220639,1
Li–V,0.08340983606557391,-0.5631819403386185,-922.3342903592064,2
In–Mo,2.065203389830508,-0.6619586283492995,-907.8346417839573,1
Co–Mo,0.4375308641975291,-0.4716675262844683,-894.2731468102402,1
Cr–Li,0.08725423728813572,-0.4061844072623707,-885.6308308309219,1
V–Y,1.2235126903553295,-0.43299911950692355,-870.3601731822166,1
